Date,Day,5p,6p,7p,8p,9p,10p
2015-06-16,Tuesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Report,
2015-06-17,Wednesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,,
2015-06-18,Thursday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,The Seventies,The Seventies
2015-06-19,Friday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,,
2015-06-20,Saturday,CNN Newsroom With Poppy Harlow,Smerconish,The Seventies,,,
2015-06-21,Sunday,CNN Newsroom With Poppy Harlow,CNN Newsroom With Poppy Harlow,,,,The Seventies
2015-06-22,Monday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360 (2 hours),,
2015-06-23,Tuesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Report,
2015-06-24,Wednesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,,
2015-06-25,Thursday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,The Seventies,The Seventies
2015-06-26,Friday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,,
2015-06-27,Saturday,CNN Newsroom With Poppy Harlow,Smerconish,CNN Special Report,The Seventies,,
2015-06-28,Sunday,CNN Newsroom With Poppy Harlow,CNN Newsroom With Poppy Harlow,,,,
2015-06-29,Monday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,
2015-06-30,Tuesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Report,
2015-07-01,Wednesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,,
2015-07-02,Thursday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,The Seventies,The Seventies
2015-07-03,Friday,The Situation Room,The Situation Room,Erin Burnett OutFront,,,
2015-07-04,Saturday,CNN Newsroom With Poppy Harlow,CNN Special Report,,,,
2015-07-05,Sunday,CNN Newsroom With Poppy Harlow,CNN Newsroom With Poppy Harlow,,,,
2015-07-06,Monday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,
2015-07-07,Tuesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Report,
2015-07-08,Wednesday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,CNN Special Report,
2015-07-09,Thursday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,The Seventies,The Seventies
2015-07-10,Friday,The Situation Room,The Situation Room,Erin Burnett OutFront,Anderson Cooper 360,The Seventies,
2015-07-11,Saturday,CNN Newsroom With Poppy Harlow,Smerconish,CNN Special Report,The Seventies,,
