Date,Day,5p,6p,7p,8p,9p,10p
2015-06-16,Tuesday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,
2015-06-17,Wednesday,,,,,The Kelly File,Hannity
2015-06-18,Thursday,,,,,The Kelly File,Hannity
2015-06-19,Friday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,Hannity
2015-06-20,Saturday,The Five,America's News Headquarters,FOX Report,On the Record With Greta Van Susteren,Justice With Judge Jeanine,The Greg Gutfeld Show
2015-06-21,Sunday,MediaBuzz,FOX News Sunday With Chris Wallace,FOX Report,,On the Record With Greta Van Susteren,The Greg Gutfeld Show
2015-06-22,Monday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,Hannity
2015-06-23,Tuesday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,Hannity
2015-06-24,Wednesday,,,,,The Kelly File,Hannity
2015-06-25,Thursday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,
2015-06-26,Friday,,,,,The Kelly File,FOX News Reporting: Crossing Jordan -- Escape From Terror
2015-06-27,Saturday,,,,,Justice With Judge Jeanine,The Greg Gutfeld Show
2015-06-28,Sunday,MediaBuzz,FOX News Sunday With Chris Wallace,FOX Report,,FOX News Reporting: Crossing Jordan -- Escape From Terror,The Greg Gutfeld Show
2015-06-29,Monday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,Hannity
2015-06-30,Tuesday,,,,,The Kelly File,Hannity
2015-07-01,Wednesday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,Hannity
2015-07-02,Thursday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,Hannity
2015-07-03,Friday,,,,,,
2015-07-04,Saturday,,America's News Headquarters,FOX Report,,,The Greg Gutfeld Show
2015-07-05,Sunday,MediaBuzz,FOX News Sunday With Chris Wallace,FOX Report,,,The Greg Gutfeld Show
2015-07-06,Monday,The Five,Special Report With Bret Baier,On the Record With Greta Van Susteren,The O'Reilly Factor,The Kelly File,Hannity
2015-07-07,Tuesday,,,,,The Kelly File,Hannity
