Date,Day,5p,6p,7p,8p,9p,10p
2015-06-16,Tuesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-17,Wednesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-18,Thursday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-19,Friday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,
2015-06-20,Saturday,,,,,,
2015-06-21,Sunday,,,,,,
2015-06-22,Monday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-23,Tuesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-24,Wednesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-25,Thursday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-26,Friday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,
2015-06-27,Saturday,,,,,,
2015-06-28,Sunday,,,,,,
2015-06-29,Monday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-06-30,Tuesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-07-01,Wednesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-07-02,Thursday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-07-03,Friday,,,,,,
2015-07-04,Saturday,,,,,,
2015-07-05,Sunday,,,,,,
2015-07-06,Monday,,,,,,
2015-07-07,Tuesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-07-08,Wednesday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-07-09,Thursday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2015-07-10,Friday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,
2015-07-11,Saturday,,,,,,
2015-07-12,Sunday,,,,,,
2015-07-13,Monday,The Ed Show,PoliticsNation,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
